Time Flow_BTPS O2 CO2 N2 MMss SampleFlow MMms DelayO2 DelayMMss
1160 0.77523456 20.94210 0.08254 78.04187 28.57871 -0.00358133 29.15976 0.56579 0.64388
1165 0.77506622 20.94234 0.08254 78.04163 28.57849 -0.00358081 29.15949 0.56566 0.64389
1170 0.77489716 20.94240 0.08254 78.04157 28.57824 -0.00358094 29.15921 0.56547 0.64387
1175 0.77472058 20.94224 0.08254 78.04173 28.57797 -0.00358075 29.15896 0.56560 0.64382
1180 0.77449481 20.94188 0.08254 78.04208 28.57765 -0.00358048 29.15870 0.56571 0.64376
1185 0.77419592 20.94129 0.08254 78.04267 28.57732 -0.00358062 29.15842 0.56583 0.64406
1190 0.77380780 20.94048 0.08254 78.04347 28.57700 -0.00358065 29.15809 0.56596 0.64435
1195 0.77329883 20.93946 0.08254 78.04448 28.57667 -0.00358106 29.15775 0.56590 0.64430
1200 0.77268774 20.93824 0.08254 78.04568 28.57635 -0.00358159 29.15740 0.56585 0.64444
1205 0.77195911 20.93683 0.08254 78.04707 28.57601 -0.00358248 29.15708 0.56584 0.64460
1210 0.77108752 20.93526 0.08254 78.04863 28.57568 -0.00358373 29.15675 0.56566 0.64476
1215 0.77001666 20.93354 0.08254 78.05032 28.57532 -0.00358464 29.15639 0.56546 0.64490
1220 0.76868744 20.93170 0.08254 78.05215 28.57495 -0.00358544 29.15602 0.56540 0.64484
1225 0.76708990 20.92976 0.08254 78.05405 28.57457 -0.00358659 29.15566 0.56534 0.64479
1230 0.76521185 20.92776 0.08254 78.05603 28.57416 -0.00358808 29.15529 0.56550 0.64495
1235 0.76302051 20.92572 0.08254 78.05805 28.57374 -0.00358915 29.15491 0.56567 0.64512
1240 0.76045050 20.92366 0.08254 78.06008 28.57331 -0.00359001 29.15453 0.56565 0.64527
1245 0.75745660 20.92162 0.08254 78.06210 28.57285 -0.00359136 29.15415 0.56560 0.64539
1250 0.75400452 20.91944 0.08254 78.06426 28.57237 -0.00359316 29.15378 0.56555 0.64517
1255 0.75009308 20.91732 0.08254 78.06635 28.57191 -0.00359470 29.15345 0.56551 0.64514
1260 0.74570178 20.91529 0.08254 78.06837 28.57144 -0.00359571 29.15311 0.56550 0.64511
1265 0.74079102 20.91334 0.08254 78.07029 28.57099 -0.00359668 29.15276 0.56582 0.64509
1270 0.73532385 20.91150 0.08254 78.07211 28.57056 -0.00359756 29.15239 0.56612 0.64504
1275 0.72928534 20.90976 0.08254 78.07383 28.57016 -0.00359883 29.15204 0.56605 0.64513
1280 0.72263184 20.90814 0.08254 78.07542 28.56982 -0.00359998 29.15170 0.56613 0.64522
1285 0.71532092 20.90665 0.08254 78.07690 28.56955 -0.00360053 29.15139 0.56622 0.64531
1290 0.70734052 20.90530 0.08254 78.07823 28.56938 -0.00360147 29.15109 0.56630 0.64521
1295 0.69869135 20.90409 0.08254 78.07942 28.56929 -0.00360257 29.15080 0.56637 0.64510
1300 0.68935535 20.90303 0.08254 78.08047 28.56928 -0.00360311 29.15052 0.56624 0.64513
1305 0.67930493 20.90212 0.08254 78.08138 28.56935 -0.00360357 29.15029 0.56608 0.64516
1310 0.66850446 20.90135 0.08254 78.08214 28.56952 -0.00360422 29.15006 0.56610 0.64501
1315 0.65695209 20.90073 0.08254 78.08275 28.56980 -0.00360481 29.14983 0.56615 0.64489
1320 0.64469196 20.90025 0.08254 78.08323 28.57015 -0.00360511 29.14961 0.56622 0.64479
1325 0.63170947 20.89989 0.08254 78.08358 28.57059 -0.00360511 29.14940 0.56632 0.64471
1330 0.61799542 20.89966 0.08254 78.08381 28.57108 -0.00360529 29.14921 0.56608 0.64465
1335 0.60353516 20.89972 0.08254 78.08375 28.57164 -0.00360540 29.14902 0.56603 0.64461
1340 0.58836139 20.89987 0.08254 78.08360 28.57223 -0.00360516 29.14884 0.56601 0.64460
1345 0.57250214 20.90011 0.08254 78.08337 28.57284 -0.00360482 29.14870 0.56601 0.64475
1350 0.55599408 20.90045 0.08254 78.08302 28.57343 -0.00360434 29.14856 0.56597 0.64487
1355 0.53889337 20.90089 0.08254 78.08259 28.57402 -0.00360397 29.14842 0.56604 0.64476
1360 0.52124524 20.90144 0.08254 78.08205 28.57458 -0.00360319 29.14829 0.56608 0.64462
1365 0.50304904 20.90210 0.08254 78.08140 28.57509 -0.00360248 29.14817 0.56610 0.64448
